,0
0,120.234.194.5
1,222.212.131.1
2,116.9.31.1
3,20.112.122.1
4,106.125.148.7
5,162.55.33.1
6,183.230.155.8
7,104.237.255.2
8,61.140.204.1
9,180.169.152.1
10,222.91.124.2
11,106.11.158.7
12,106.11.153.8
13,106.11.154.7
14,42.233.35.1
15,190.202.59.9
16,106.11.157.2
17,106.11.156.2
18,219.133.170.2
19,163.116.200.1
20,61.139.6.1
21,123.149.77.2
22,124.128.34.8
23,112.86.34.3
24,106.11.153.7
25,106.11.155.8
26,171.212.254.1
27,221.218.215.4
28,106.11.158.1
29,120.253.237.2
30,113.57.165.2
31,139.162.180.1
32,118.186.4.1
33,106.11.154.6
34,183.228.91.1
35,106.11.154.2
36,106.11.152.1
37,113.68.54.2
38,223.104.247.1
39,185.27.99.2
40,106.11.159.6
41,106.11.156.7
42,181.199.58.1
43,106.11.159.1
44,106.11.156.1
45,180.158.51.2
46,106.11.154.8
47,120.244.228.1
48,106.11.152.5
49,106.11.156.8
50,106.11.155.1
51,115.60.57.1
52,104.41.165.1
53,223.71.97.5
54,106.84.167.2
55,106.11.158.8
56,106.11.153.2
57,140.205.91.1
58,112.45.96.2
